System Epoch,Device,Category,E4 Epoch,Value
1669786327161,E4,Gsr,1669786326.465,2.119063
1669786327161,E4,Gsr,1669786326.715,2.128028
1669786327161,E4,Gsr,1669786326.965,2.124186
1669786327161,E4,Gsr,1669786327.215,2.120343
1669786328668,E4,Gsr,1669786327.465,2.111378
1669786328668,E4,Gsr,1669786327.715,2.103693
1669786328668,E4,Gsr,1669786327.965,2.093447
1669786328668,E4,Gsr,1669786328.215,2.080639
1669786328668,E4,Gsr,1669786328.465,2.063989
1669786328668,E4,Gsr,1669786328.715,2.057585
1669786330175,E4,Gsr,1669786328.965,2.047338
1669786330175,E4,Gsr,1669786329.215,2.046058
1669786330176,E4,Gsr,1669786329.465,2.0499
1669786330176,E4,Gsr,1669786329.715,2.065269
1669786330176,E4,Gsr,1669786329.965,2.079358
1669786330176,E4,Gsr,1669786330.215,2.085762
1669786331662,E4,Gsr,1669786330.465,2.087043
1669786331662,E4,Gsr,1669786330.715,2.080639
1669786331662,E4,Gsr,1669786330.965,2.065269
1669786331662,E4,Gsr,1669786331.215,2.055023
1669786331662,E4,Gsr,1669786331.465,2.048619
1669786331662,E4,Gsr,1669786331.715,2.043496
1669786333213,E4,Gsr,1669786332.215,2.025565
1669786333213,E4,Gsr,1669786331.965,2.031969
1669786333213,E4,Gsr,1669786332.465,2.023003
1669786333213,E4,Gsr,1669786332.715,2.016599
1669786333213,E4,Gsr,1669786332.965,2.014038
1669786333213,E4,Gsr,1669786333.215,2.011476
1669786334675,E4,Gsr,1669786333.465,2.008915
1669786334675,E4,Gsr,1669786333.715,1.999949
1669786334675,E4,Gsr,1669786333.965,1.999949
1669786334675,E4,Gsr,1669786334.215,1.999949
1669786334675,E4,Gsr,1669786334.465,1.998668
1669786334675,E4,Gsr,1669786334.715,2.00123
1669786336162,E4,Gsr,1669786334.965,2.008915
1669786336162,E4,Gsr,1669786335.215,2.011476
1669786336162,E4,Gsr,1669786335.465,2.010195
1669786336162,E4,Gsr,1669786335.715,2.011476
1669786336162,E4,Gsr,1669786335.965,2.012757
1669786336162,E4,Gsr,1669786336.215,2.007634
1669786337668,E4,Gsr,1669786336.465,2.006353
1669786337668,E4,Gsr,1669786336.715,2.003792
1669786337668,E4,Gsr,1669786336.965,2.00123
1669786337668,E4,Gsr,1669786337.215,1.997388
1669786337668,E4,Gsr,1669786337.465,1.993545
1669786337668,E4,Gsr,1669786337.715,1.990984
1669786339175,E4,Gsr,1669786338.215,1.983299
1669786339175,E4,Gsr,1669786337.965,1.989703
1669786339176,E4,Gsr,1669786338.465,1.983299
1669786339176,E4,Gsr,1669786338.715,1.98586
1669786339176,E4,Gsr,1669786338.965,1.979457
1669786339176,E4,Gsr,1669786339.215,1.975614
1669786340660,E4,Gsr,1669786339.465,1.978176
1669786340660,E4,Gsr,1669786339.715,1.973053
1669786340661,E4,Gsr,1669786339.965,1.970491
1669786340661,E4,Gsr,1669786340.215,1.975614
1669786340661,E4,Gsr,1669786340.465,1.976895
1669786340661,E4,Gsr,1669786340.715,1.96921
1669786342168,E4,Gsr,1669786340.965,1.96921
1669786342169,E4,Gsr,1669786341.215,1.967929
1669786342169,E4,Gsr,1669786341.465,1.960245
1669786342169,E4,Gsr,1669786341.715,1.95256
1669786342169,E4,Gsr,1669786341.965,1.951279
1669786342169,E4,Gsr,1669786342.215,1.947437
1669786343676,E4,Gsr,1669786342.715,1.93719
1669786343676,E4,Gsr,1669786342.465,1.939752
1669786343676,E4,Gsr,1669786342.965,1.93591
1669786343676,E4,Gsr,1669786343.215,1.933348
1669786343676,E4,Gsr,1669786343.465,1.930786
1669786343676,E4,Gsr,1669786343.715,1.932067
1669786345161,E4,Gsr,1669786343.965,1.928225
1669786345161,E4,Gsr,1669786344.215,1.924382
1669786345161,E4,Gsr,1669786344.465,1.92054
1669786345161,E4,Gsr,1669786344.715,1.917979
1669786345161,E4,Gsr,1669786344.965,1.921821
1669786345161,E4,Gsr,1669786345.215,1.917979
1669786346668,E4,Gsr,1669786345.465,1.912855
1669786346668,E4,Gsr,1669786345.715,1.912855
1669786346669,E4,Gsr,1669786345.965,1.905171
1669786346669,E4,Gsr,1669786346.215,1.905171
1669786346669,E4,Gsr,1669786346.465,1.897486
1669786346669,E4,Gsr,1669786346.715,1.896205
1669786348175,E4,Gsr,1669786346.965,1.891082
1669786348175,E4,Gsr,1669786347.215,1.891082
1669786348176,E4,Gsr,1669786347.465,1.88852
1669786348176,E4,Gsr,1669786347.715,1.884678
1669786348176,E4,Gsr,1669786347.965,1.884678
1669786348176,E4,Gsr,1669786348.215,1.882116
1669786349662,E4,Gsr,1669786348.465,1.874432
1669786349662,E4,Gsr,1669786348.715,1.870589
1669786349663,E4,Gsr,1669786348.965,1.870589
1669786349663,E4,Gsr,1669786349.215,1.869308
1669786349663,E4,Gsr,1669786349.465,1.864185
1669786349663,E4,Gsr,1669786349.715,1.862905
1669786351168,E4,Gsr,1669786349.965,1.861624
1669786351168,E4,Gsr,1669786350.215,1.853939
1669786351168,E4,Gsr,1669786350.465,1.852658
1669786351168,E4,Gsr,1669786350.715,1.847535
1669786351168,E4,Gsr,1669786350.965,1.844973
1669786351168,E4,Gsr,1669786351.215,1.846254
1669786352676,E4,Gsr,1669786351.465,1.852658
1669786352676,E4,Gsr,1669786351.715,1.83857
1669786352676,E4,Gsr,1669786351.965,1.843693
1669786352676,E4,Gsr,1669786352.215,1.836008
1669786352676,E4,Gsr,1669786352.465,1.834727
1669786352676,E4,Gsr,1669786352.715,1.828323
1669786354162,E4,Gsr,1669786352.965,1.825762
1669786354162,E4,Gsr,1669786353.215,1.821919
1669786354163,E4,Gsr,1669786353.465,1.821919
1669786354163,E4,Gsr,1669786353.715,1.818077
1669786354163,E4,Gsr,1669786353.965,1.829604
1669786354163,E4,Gsr,1669786354.215,1.842412
1669786355668,E4,Gsr,1669786354.465,1.846254
1669786355668,E4,Gsr,1669786354.715,1.851377
1669786355669,E4,Gsr,1669786354.965,1.851377
1669786355669,E4,Gsr,1669786355.215,1.851377
1669786355669,E4,Gsr,1669786355.465,1.850097
1669786355669,E4,Gsr,1669786355.715,1.846254
1669786357176,E4,Gsr,1669786355.965,1.85522
1669786357176,E4,Gsr,1669786356.215,1.866747
1669786357177,E4,Gsr,1669786356.465,1.880836
1669786357177,E4,Gsr,1669786356.715,1.883397
1669786357177,E4,Gsr,1669786356.965,1.884678
1669786357177,E4,Gsr,1669786357.215,1.878274
1669786358661,E4,Gsr,1669786357.715,1.865466
1669786358661,E4,Gsr,1669786357.465,1.870589
1669786358662,E4,Gsr,1669786357.965,1.860343
1669786358662,E4,Gsr,1669786358.215,1.857781
1669786358662,E4,Gsr,1669786358.465,1.853939
1669786358662,E4,Gsr,1669786358.715,1.852658
1669786360168,E4,Gsr,1669786358.965,1.852658
1669786360168,E4,Gsr,1669786359.215,1.850097
1669786360169,E4,Gsr,1669786359.465,1.851377
1669786360169,E4,Gsr,1669786359.715,1.850097
1669786360169,E4,Gsr,1669786359.965,1.847535
1669786360169,E4,Gsr,1669786360.215,1.848816
1669786361676,E4,Gsr,1669786360.465,1.851377
1669786361676,E4,Gsr,1669786360.715,1.843693
1669786361677,E4,Gsr,1669786360.965,1.83985
1669786361677,E4,Gsr,1669786361.215,1.836008
1669786361677,E4,Gsr,1669786361.465,1.825762
1669786361677,E4,Gsr,1669786361.715,1.824481
1669786363186,E4,Gsr,1669786361.965,1.819358
1669786363186,E4,Gsr,1669786362.215,1.815515
1669786363187,E4,Gsr,1669786362.465,1.810392
1669786363187,E4,Gsr,1669786362.715,1.810392
1669786363187,E4,Gsr,1669786362.965,1.809111
1669786363187,E4,Gsr,1669786363.215,1.802707
1669786364714,E4,Gsr,1669786363.465,1.795023
1669786364714,E4,Gsr,1669786363.715,1.789899
1669786364715,E4,Gsr,1669786363.965,1.786057
1669786364715,E4,Gsr,1669786364.215,1.778372
1669786364715,E4,Gsr,1669786364.465,1.778372
1669786364715,E4,Gsr,1669786364.715,1.77453
1669786366176,E4,Gsr,1669786364.965,1.766845
1669786366176,E4,Gsr,1669786365.215,1.764284
1669786366177,E4,Gsr,1669786365.465,1.75916
