,,Category,Value,,
1664977582202,1664977582.132330,E4_Bvp,4.168762,,
1664977582202,1664977582.147960,E4_Bvp,1.136749,,
1664977582202,1664977582.163580,E4_Bvp,16.95558,,
1664977582202,1664977582.179210,E4_Bvp,28.68336,,
1664977582202,1664977582.194830,E4_Bvp,33.33394,,
1664977582203,1664977582.210460,E4_Bvp,29.44411,,
1664977582203,1664977582.226080,E4_Bvp,20.73921,,
1664977582203,1664977582.241710,E4_Bvp,13.43346,,
1664977582203,1664977582.257340,E4_Bvp,12.38564,,
1664977582381,1664977582.272960,E4_Bvp,17.87808,,
1664977582382,1664977582.288590,E4_Bvp,25.59032,,
1664977582382,1664977582.304210,E4_Bvp,29.37941,,
1664977582382,1664977582.319840,E4_Bvp,25.10252,,
1664977582382,1664977582.335460,E4_Bvp,13.40565,,
1664977582382,1664977582.351090,E4_Bvp,-0.613678,,
1664977582383,1664977582.366720,E4_Bvp,-10.32925,,
1664977582383,1664977582.382340,E4_Bvp,-11.8978,,
1664977582383,1664977582.397970,E4_Bvp,-6.461746,,
1664977582383,1664977582.413590,E4_Bvp,0.2842102,,
1664977582383,1664977582.429220,E4_Bvp,1.842392,,
1664977582562,1664977582.444840,E4_Bvp,-5.013947,,
1664977582562,1664977582.460470,E4_Bvp,-18.28246,,
1664977582562,1664977582.476100,E4_Bvp,-31.76477,,
1664977582563,1664977582.491720,E4_Bvp,-39.12538,,
1664977582563,1664977582.507350,E4_Bvp,-37.69406,,
1664977582563,1664977582.522970,E4_Bvp,-30.53189,,
1664977582563,1664977582.538600,E4_Bvp,-24.44218,,
1664977582563,1664977582.554220,E4_Bvp,-25.80685,,
1664977582563,1664977582.569850,E4_Bvp,-36.54025,,
1664977582563,1664977582.585480,E4_Bvp,-52.81777,,
1664977582563,1664977582.601100,E4_Bvp,-67.53954,,
1664977582720,1664977582.616730,E4_Bvp,-74.52014,,
1664977582720,1664977582.632350,E4_Bvp,-72.59583,,
1664977582720,1664977582.647980,E4_Bvp,-66.31113,,
1664977582720,1664977582.663600,E4_Bvp,-63.61329,,
1664977582721,1664977582.679230,E4_Bvp,-70.74449,,
1664977582721,1664977582.694860,E4_Bvp,-88.28265,,
1664977582721,1664977582.710480,E4_Bvp,-110.4379,,
1664977582721,1664977582.726110,E4_Bvp,-128.0724,,
1664977582721,1664977582.741730,E4_Bvp,-134.2789,,
1664977582721,1664977582.757360,E4_Bvp,-128.7383,,
1664977582721,1664977582.772980,E4_Bvp,-118.7385,,
1664977582900,1664977582.788610,E4_Bvp,-115.3626,,
1664977582900,1664977582.804240,E4_Bvp,-127.0904,,
1664977582900,1664977582.819860,E4_Bvp,-154.2126,,
1664977582900,1664977582.835490,E4_Bvp,-187.833,,
1664977582900,1664977582.851110,E4_Bvp,-214.1804,,
1664977582900,1664977582.866740,E4_Bvp,-221.748,,
1664977582900,1664977582.882360,E4_Bvp,-207.6064,,
1664977582900,1664977582.897990,E4_Bvp,-178.4008,,
1664977582901,1664977582.913620,E4_Bvp,-146.6015,,
1664977582901,1664977582.929240,E4_Bvp,-123.2149,,
1664977582901,1664977582.944870,E4_Bvp,-112.0974,,
1664977583079,1664977582.960490,E4_Bvp,-108.5083,,
1664977583079,1664977582.976120,E4_Bvp,-102.5267,,
1664977583079,1664977582.991740,E4_Bvp,-84.84572,,
1664977583080,1664977583.007370,E4_Bvp,-51.30692,,
1664977583080,1664977583.023000,E4_Bvp,-4.267452,,
1664977583080,1664977583.038620,E4_Bvp,49.59395,,
1664977583080,1664977583.054250,E4_Bvp,102.9929,,
1664977583080,1664977583.069870,E4_Bvp,151.0865,,
1664977583080,1664977583.085500,E4_Bvp,192.3516,,
1664977583081,1664977583.101130,E4_Bvp,227.267,,
1664977583081,1664977583.116750,E4_Bvp,256.3601,,
1664977583237,1664977583.132380,E4_Bvp,278.7018,,
1664977583237,1664977583.148000,E4_Bvp,292.1772,,
1664977583237,1664977583.163630,E4_Bvp,294.5179,,
1664977583237,1664977583.179250,E4_Bvp,285.0778,,
1664977583237,1664977583.194880,E4_Bvp,265.7735,,
1664977583237,1664977583.210510,E4_Bvp,240.8586,,
1664977583237,1664977583.226130,E4_Bvp,215.6609,,
1664977583238,1664977583.241760,E4_Bvp,194.7007,,
1664977583238,1664977583.257380,E4_Bvp,180.3176,,
1664977583238,1664977583.273010,E4_Bvp,172.1189,,
1664977583238,1664977583.288630,E4_Bvp,167.5856,,
1664977583417,1664977583.304260,E4_Bvp,163.3892,,
1664977583417,1664977583.319890,E4_Bvp,156.8894,,
1664977583418,1664977583.351140,E4_Bvp,146.9915,,
1664977583418,1664977583.335510,E4_Bvp,134.2509,,
1664977583418,1664977583.366760,E4_Bvp,120.2819,,
